,title,price,link,location
107,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
108,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
109,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
110,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
111,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
112,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
113,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
114,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
115,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
116,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
117,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
118,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
119,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
120,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
121,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
122,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
123,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
124,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
125,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
126,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
127,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
